Designator,Mid X,Mid Y,Layer,Rotation
C100,44.6532,93.946,T,-90
C101,46.3296,93.946,T,-90
C102,39.874,42.9768,T,180
C103,36.8656,39.6951,T,90
C104,28.0924,31.4564,T,180
C105,27.5596,37.3492,T,180
C106,49.4785,94.7467,T,0
C107,49.4785,92.6639,T,0
C108,49.4785,91.0891,T,0
C109,51.9176,87.8887,T,-90
C110,49.4284,85.09,T,90
C111,54.4569,92.2575,T,180
C201,13.6652,76.2508,T,90
C202,17.9808,80.1328,T,180
C203,29.8704,80.1328,T,180
C204,27.7308,61.3368,T,180
C205,15.0698,65.4338,T,90
C206,15.0698,73.7066,T,90
C207,15.0698,75.9338,T,90
C208,33.8658,71.2428,T,-90
C209,35.2628,71.2428,T,-90
C210,33.8658,67.1576,T,90
C211,15.0876,67.3608,T,-90
C212,10.1092,66.8528,T,180
C213,10.1092,65.0748,T,180
C214,15.0876,69.2912,T,90
C215,47.0916,78.2828,T,180
C216,10.7368,72.7278,T,180
C217,8.6032,72.7278,T,0
C218,38.354,88.5164,T,-90
C219,9.1691,83.7464,T,-90
C220,21.6408,87.9856,T,180
C221,13.7668,69.2912,T,90
C222,51.5116,55.5568,T,-90
C301,21.8948,52.0192,T,180
C302,21.8948,50.6984,T,180
C303,19.05,50.6984,T,180
C304,22.4536,41.1988,T,0
C305,23.0124,39.878,T,0
C306,36.7328,32.3007,T,-90
C307,37.351,16.7051,T,180
C308,40.4576,15.0876,T,180
C309,45.3644,14.3053,T,90
C310,10.7696,47.7108,T,180
C311,10.7696,44.0532,T,180
C312,19.558,40.7416,T,-90
C313,17.3228,40.5384,T,180
C314,20.9296,40.7416,T,-90
C315,17.3228,38.9128,T,180
C316,36.3428,35.4978,T,0
C317,49.4714,32.5547,T,180
C318,42.0116,30.48,T,90
C319,47.1546,28.893,T,-90
C320,40.7338,25.5016,T,180
C321,14.0924,11.2662,T,0
C322,13.2796,13.6538,T,90
C323,18.3388,18.796,T,0
C324,13.8892,26.9634,T,90
C325,17.3228,25.2888,T,90
C326,10.2316,25.5524,T,180
C327,12.2428,31.75,T,-90
C328,11.43,34.0868,T,0
C330,34.768,28.1318,T,-90
C331,24.5476,11.2872,T,180
C332,25.3096,13.6748,T,90
C333,29.8704,18.796,T,0
C334,25.8176,27.0352,T,90
C335,29.21,25.3492,T,90
C336,22.1996,25.5524,T,180
C337,23.0124,31.763,T,-90
C338,22.1996,34.0998,T,0
C340,54.5206,29.5946,T,0
C341,32.3088,47.7141,T,0
C342,32.258,44.0057,T,0
D100,38.0472,99.026,T,90
D101,41.908,99.026,T,90
D102,53.5432,85.0392,T,-90
D202,51.1052,59.1976,T,90
D203,51.1052,62.6012,T,90
D204,9.6263,86.6388,T,90
D205,11.7091,85.572,T,-90
D206,9.7008,96.74,T,-90
D207,17.7968,99.534,T,180
D208,20.572,97.1464,T,90
D209,20.572,93.6412,T,-90
D210,20.572,90.2376,T,-90
D300,24.4968,4.699,T,0
D301,29.5428,4.699,T,0
D302,14.3078,4.699,T,0
D303,19.431,4.699,T,0
FL201,40.1828,75.9268,T,90
J201,55.37,75.442,T,90
J205,7.5,85.25,T,-90
J206,15.1364,94.708,T,0
L100,45.5148,96.3336,T,0
L101,44.4493,86.5171,T,-90
L201,12.2682,65.9638,T,-90
Q300,33.462,21.0108,T,-90
Q301,54.5206,34.4714,T,90
R100,40.9448,45.974,T,-90
R101,30.6076,35.7622,T,90
R102,30.6076,32.6634,T,90
R103,52.1201,89.5143,T,180
R104,54.4569,91.0891,T,0
R105,52.3233,91.0891,T,0
R106,55.4736,85.0392,T,90
R201,54.3052,69.4944,T,180
R202,54.3052,81.3816,T,180
R203,17.9852,82.0928,T,0
R204,40.6928,73.0504,T,180
R205,38.864,72.5424,T,-90
R206,8.6032,71.628,T,0
R207,14.2056,87.1864,T,-90
R208,14.2056,84.7852,T,90
R209,21.5392,59.2328,T,0
R210,27.0332,59.5884,T,180
R211,47.3968,61.0432,T,-90
R212,47.3968,58.674,T,90
R213,39.0652,62.1792,T,0
R214,32.1564,60.8584,T,0
R215,32.5628,86.2584,T,0
R217,20.574,99.534,T,0
R218,23.4188,95.6056,T,-90
R219,22.1468,94.2,T,-90
R220,22.1468,90.7964,T,-90
R221,12.2682,67.9958,T,90
R300,37.5964,29.8115,T,0
R301,36.7328,27.3223,T,-90
R302,36.7328,24.1219,T,-90
R303,37.4904,21.6408,T,180
R304,36.576,19.2024,T,-90
R305,37.3588,15.0876,T,0
R306,43.7388,14.3256,T,90
R307,41.1988,12.7,T,-90
R308,25.6652,53.8068,T,-90
R309,23.7744,53.8068,T,-90
R310,13.5148,49.8856,T,180
R311,27.2288,43.3814,T,-90
R312,26.1,43.3832,T,-90
R313,11.5316,45.882,T,-90
R314,15.0988,48.2188,T,-90
R315,16.2672,48.2188,T,-90
R316,16.2052,43.2816,T,90
R317,38.832,34.6342,T,-90
R318,41.3212,35.4978,T,0
R319,44.5216,35.4978,T,0
R320,47.0108,34.6342,T,90
R321,49.4492,35.4978,T,0
R322,46.2402,31.3314,T,180
R323,45.4274,28.893,T,-90
R324,43.7388,28.893,T,-90
R325,13.2918,7.239,T,90
